Group	Color	Taxlevel
Archaea	firebrick1	DOMAIN
Bacteria	goldenrod1	
Bacteria_unclassified	goldenrod1	
No_Relative	gray	
Other	ivory	
Other_Cyanobacteria	ivory	
Other_Bacteroidota	ivory	
Other_Alphaproteobacteria	ivory	
Other_Gammaproteobacteria	ivory	
Other_Deltaproteobacteria	ivory	
Crenarchaeota	slateblue4	PHYLUM
Euryarchaeota	turquoise3	
Nanoarchaeota	yellow	
Thermoplasmatota	tan	
Actinobacteriota	tomato2	
Bacteroidota	dodgerblue3	
Calditrichaeota	bisque1	
Chloroflexi	aquamarine4	
Cyanobacteria	lightgreen	
Epsilonbacteraeota	violet	
Firmicutes	saddlebrown	
Gemmatimonadetes	darkorchid	
Kiritimatiellaeota	violetred	
Latescibacteria	skyblue4	
Fusobacteria	peru	
Marinimicrobia_(SAR406_clade)	red	
Planctomycetota	darkseagreen	
Proteobacteria	lightblue	
Spirochaetota	cyan	
Verrucomicrobiota	darkorange	
Acidobacteria	red4	
Desulfobacterota	tan3	
Myxococcota	darkmagenta	
Bdellovibrionota	violet	
Woesearchaeia	yellow	CLASS
Alphaproteobacteria	lightblue	
Alphaproteobacteria_unclassified	gray40	
Gammaproteobacteria	khaki1	
Gammaproteobacteria_unclassified	khaki1	
Proteobacteria_unclassified	gray	
Bacteroidia	dodgerblue3	
Anaerolineae	aquamarine4	
Cyanobacteriia	lightgreen	
Cyanobacteriia_unclassified	lightgreen	
Campylobacteria	violet	
Bacilli	saddlebrown	
Clostridia	darkmagenta	
Planctomyceatacia	darkseagreen	
Bifidobacteriales	tomato2	ORDER
Bacteroidales	dodgerblue3	
Chitinophagales	mediumpurple	
Flavobacteriales	lightcyan	
Chloroplast	forestgreen	
Nostocales	darkolivegreen3	
Cyanobacteriales_unclassified	darkolivegreen3	
Campylobacterales	violet	
Bacillales	saddlebrown	
Lactobacillales	wheat3	
Clostridiales	darkmagenta	
Pirellulales	darkseagreen	
Rhodobacterales	turquoise3	
Rickettsiales	red	
Desulfobacterales	tan3	
Cellvibrionales	yellowgreen	
Enterobacteriales	sandybrown	
Pseudomonadales	darkkhaki	
Betaproteobacteriales_unclassified	turquoise3	
Thermosynechococcales_unclassified	violet	
