COG Functional Category	COG
A	14473
AB	54
ABO	25
AD	41
ADK	304
ADL	173
AF	1
AJ	502
AK	24
AL	55
AO	91
AT	170
ATY	20
AU	4
AV	41
B	4524
BD	1053
BDL	142
BDLT	289
BDLTU	388
BDT	1
BI	1
BK	1371
BKL	35
BKO	19
BKQ	1
BL	49
BQ	5991
BT	225
C	946348
CD	22
CDZ	61
CE	9589
CEF	2
CEG	263
CEGO	6
CEH	302
CEK	1
CEP	2
CET	50
CF	433
CG	7954
CGM	45
CH	23415
CHI	51
CHJ	5
CHQ	155
CHT	26
CI	3143
CIQ	51
CJ	1034
CJQ	734
CK	1116
CKT	232
CL	505
CM	164
CMN	1
CMO	4
CMT	8
CNT	8
CNU	4
CO	26636
COP	28
COT	75
COTV	319
CP	17154
CQ	2690
CT	1915
CU	95
D	126979
DE	399
DEGMUZ	93
DEOZ	29
DETZ	43
DEZ	92
DF	2
DFJ	9
DFL	11
DFM	6
DG	10
DGMZ	1
DGZ	1
DHM	13
DIOT	3
DJ	766
DJL	22
DK	145
DKL	143
DKLT	21
DKLTZ	13
DKMT	6
DKT	173
DL	317
DM	4398
DMNUW	1
DMOTZ	10
DMPZ	17
DMQZ	15
DMUZ	289
DMZ	38
DN	100
DNT	39
DNU	4
DNZ	17
DO	1027
DOTZ	21
DOZ	168
DP	19
DT	1234
DTUZ	1
DTZ	940
DU	113
DUZ	27
DV	20
DY	5
DZ	12825
E	910128
EF	4614
EFG	1
EFGP	9
EFQ	13
EG	44557
EGH	30
EGHP	42
EGIP	47
EGIPQ	19
EGKLT	1
EGKP	18
EGM	28
EGMP	6
EGN	6
EGO	4
EGP	46560
EGPQ	8
EGPT	64
EGT	18
EH	45940
EHJ	8
EHP	231
EI	5855
EIJ	11
EIOV	46
EIP	31
EJ	1950
EJM	15
EJN	2
EK	2774
EKLT	57
EKQ	1
EKT	39
EL	69
ELM	2
EM	5114
EMQ	1
EMT	78
EN	120
ENT	35
ENU	4
EO	681
EP	16336
EPQ	2
EPT	734
EQ	24146
ET	13383
EU	7496
EUW	18
EV	22
F	269940
FG	3603
FGL	1
FGM	1
FGMQ	273
FGQ	7
FGV	28
FH	670
FI	3
FIM	10
FJ	4394
FJK	2
FK	10
FKLPT	5
FL	568
FM	124
FN	2
FO	34
FP	4718
FPT	1
FQ	344
FT	517
G	546872
GH	423
GHM	1
GI	142
GIM	58
GIQ	2
GIV	6
GJ	111
GJM	269
GK	5164
GKLT	9
GKT	96
GL	75
GM	44211
GMN	19
GMNQU	6
GMO	30
GMOU	382
GMPQ	29
GMQ	64
GMT	1
GMU	15
GMV	5
GMW	119
GN	587
GNQ	110
GNU	3
GO	458
GOQ	65
GOT	128
GOU	198
GP	335
GPT	28
GPU	236
GQ	1286
GT	3144
GU	30
GUW	47
GV	208
H	431866
HI	469
HIQ	16
HJ	7468
HJK	46
HJM	728
HJO	330
HK	545
HKLT	6
HKT	46
HL	204
HLP	2
HM	193
HMU	51
HO	39
HP	3473
HPT	16
HQ	1375
HT	6
I	412714
IJ	104
IJM	14
IJT	10
IK	416
IKOT	9
IKT	42
IL	17
IM	4486
IMO	90
IMQ	8
IMU	4
IMV	3
IN	28
IO	14
IOQU	3
IOT	125
IP	118
IQ	144248
IQT	3
IT	957
IU	3416
IV	5
IZ	3
J	524784
JK	447
JKL	3656
JL	86
JM	4716
JMQU	32
JMT	2
JMU	70
JO	16
JP	4
JPQ	16
JQ	100
JT	33
JU	40
JUY	38
K	502694
KL	10386
KLMT	12
KLNT	12
KLNTU	1
KLO	151
KLOT	72
KLPT	87
KLT	62236
KLTU	822
KLTV	12
KLV	27
KM	234
KMO	4
KMT	430
KMU	1
KNT	196
KNTU	18
KNU	68
KO	1830
KOT	392
KP	176
KPT	1
KQ	1384
KT	46317
KTU	196
KTV	15
KU	499
KV	16
L	699163
LM	215
LMNU	13
LMU	10
LN	2
LNT	5
LNU	281
LO	942
LP	27
LQ	13
LT	334
LU	3068
LV	626
M	775088
MN	310
MNO	254
MNOQ	57
MNOU	61
MNQU	10
MNU	206
MO	981
MOP	17
MOQ	303
MOT	153
MOU	2
MOV	26
MOW	1
MP	1962
MPQ	4
MPT	4
MPU	30
MQ	4198
MQU	1250
MT	791
MTU	1
MU	25532
MUW	311
MV	547
MW	88
MZ	2
N	69667
NO	184
NOU	2138
NP	69
NPT	125
NPTU	702
NQ	61
NQU	8
NT	28383
NTU	362
NTZ	1
NU	76033
NUW	9
O	432939
OP	342
OPQ	1
OPTVW	4
OPU	70
OQ	872
OT	2404
OTU	35
OU	11410
OV	45
OW	14
P	651126
PQ	1419
PQU	36
PQV	1
PT	6367
PU	11
PV	1
Q	346167
QT	654
QU	5773
QUW	73
QV	51
S	2095189
T	526253
TU	693
TUZ	54
TV	339
TW	74
TZ	365
U	196577
UW	5275
UY	983
UZ	101
V	236071
VW	25
W	404
Y	123
Z	8246
NA	531600
