phylum	cds	rpkm	cds_relative	rpkm_relative
Abditibacteriota	98	6.1315	2.7764687137022754e-4	0.00027815521077373785
Acidobacteria	56612	1257.4686	0.16038923144909512	0.05704500423621577
Actinobacteria	655055	43153.463	1.8558568502594328	1.957654831017157
Annelida	751	44.4825	0.002127681636724907	0.002017946532372632
Apicomplexa	364	16.3566	0.0010312598079465596	7.420163941191749e-4
Aquificae	325	9.5302	9.207676856665709e-4	4.323370773409242e-4
Armatimonadetes	7657	183.6363	0.021693286674304414	0.00833065216214782
Arthropoda	9968	402.2887	0.02824065320222886	0.018249808063343878
Artverviricota	4	0.0612	1.1332525362050103e-5	2.7763351381151035e-6
Ascomycota	5740	247.1107	0.0162621738945419	0.011210165349905555
Bacillariophyta	761510	71003.5026	2.1574578471136934	3.2210705751246267
Bacteroidetes	2226547	78921.48780000002	6.308100086824144	3.5802696034552697
Balneolaeota	7907	230.2499	0.022401569509432544	0.010445275946364196
Basidiomycota	3371	174.417	0.009550485748867724	0.007912419048768334
Blastocladiomycota	111	4.3174	3.1447757879689037e-4	1.958586491061789e-4
Brachiopoda	587	20.5086	0.0016630480968808528	9.30371679959925e-4
Caldiserica	27	0.33	7.64945461938382e-5	1.4970434568267717e-5
Calditrichaeota	1423	34.8109	0.004031545897549324	0.0015791948506439714
candidate division CPR1	45	1.1715	1.2749091032306366e-4	5.314504271735039e-5
candidate division CPR2	85	2.3737	2.4081616394356473e-4	1.0768278949908204e-4
candidate division CPR3	38	0.8884	1.0765899093947599e-4	4.0302224455906174e-5
candidate division KD3-62	84	1.6644	2.3798303260305216e-4	7.55054281679539e-5
candidate division NC10	1242	29.6879	0.0035187491249165574	0.0013467901952099247
candidate division WOR-3	414	9.7277	0.0011729163749721857	4.412966556052663e-4
candidate division WWE3	324	11.6763	9.179345543260585e-4	5.296948034832252e-4
candidate division Zixibacteria	2356	54.7312	0.006674857438247511	0.0024828783286144664
Candidatus Abawacabacteria	48	1.2871	1.3599030434460123e-4	5.83892313115678e-5
Candidatus Adlerbacteria	39	0.8124	1.1049212227998852e-4	3.685448800988088e-5
Candidatus Aenigmarchaeota	17	0.3192	4.816323278871294e-5	1.4480493073306225e-5
Candidatus Aerophobetes	37	0.46149999999999997	1.0482585959896346e-4	2.093592591895621e-5
Candidatus Altiarchaeota	441	9.0438	0.001249410921166024	4.102715640863623e-4
Candidatus Amesbacteria	101	2.845	2.8614626539176513e-4	1.2906329195976258e-4
Candidatus Aminicenantes	2011	48.3173	0.00569742712577069	0.0021919120550465505
Candidatus Andersenbacteria	69	1.9834	1.954860624953643e-4	8.997684825061269e-5
Candidatus Atribacteria	382	6.8196	0.0010822561720757848	3.0937083509623793e-4
Candidatus Azambacteria	55	0.9016	1.5582222372818893e-4	4.0901041838636885e-5
Candidatus Bathyarchaeota	1349	22.1747	0.003821894178351397	0.0010059542285483824
Candidatus Beckwithbacteria	57	1.8147	1.6148848640921398e-4	8.232378063950127e-5
Candidatus Berkelbacteria	87	4.9231	2.464824266245898e-4	2.2333620128193573e-4
Candidatus Bipolaricaulota	192	5.2652	5.439612173784049e-4	2.3885555178437327e-4
Candidatus Blackburnbacteria	35	10.5321	9.915959691793841e-5	4.7778822398924966e-4
Candidatus Brennerbacteria	23	3.4268	6.51620208317881e-5	1.5545662175315091e-4
Candidatus Buchananbacteria	121	2.3072	3.4280889220201567e-4	1.0466602010880991e-4
Candidatus Campbellbacteria	85	1.3581	2.4081616394356473e-4	6.161014299140724e-5
Candidatus Cerribacteria	11	0.1865	3.116444474563779e-5	8.460563778733118e-6
Candidatus Chisholmbacteria	38	0.742	1.0765899093947599e-4	3.366079530198377e-5
Candidatus Cloacimonetes	1488	37.424	0.004215699434682639	0.0016977380099480334
Candidatus Coatesbacteria	68	4.7444	1.9265293115485176e-4	2.1522948413845258e-4
Candidatus Collierbacteria	55	1.7174	1.5582222372818893e-4	7.790977068952416e-5
Candidatus Colwellbacteria	44	3.728	1.2465777898255115e-4	1.6912054566818802e-4
Candidatus Curtissbacteria	89	1.8774	2.521486893056148e-4	8.516816320747215e-5
Candidatus Dadabacteria	581	14.1904	0.0016460493088377775	6.437468324168067e-4
Candidatus Daviesbacteria	122	2.785	3.456420235425282e-4	1.263413947655321e-4
Candidatus Delongbacteria	38	0.9662	1.0765899093947599e-4	4.383161781775838e-5
Candidatus Desantisbacteria	204	4.3037	5.779587934645553e-4	1.952371492468296e-4
Candidatus Diapherotrites	13	0.6567000000000001	3.6830707426662834e-5	2.9791164790852757e-5
Candidatus Doudnabacteria	89	2.1479	2.521486893056148e-4	9.743938305812796e-5
Candidatus Edwardsbacteria	93	2.4535	2.634812146676649e-4	1.113029127674086e-4
Candidatus Eisenbacteria	970	23.2402	0.0027481374002971504	0.001054290586222592
Candidatus Falkowbacteria	283	7.3275	8.017761693650449e-4	3.32411694845399e-4
Candidatus Fermentibacteria	107	3.4307	3.0314505343484026e-4	1.5563354507077591e-4
Candidatus Firestonebacteria	121	2.2646	3.4280889220201567e-4	1.0273347310090628e-4
Candidatus Fischerbacteria	246	5.9389	6.969503097660814e-4	2.6941792078025796e-4
Candidatus Fraserbacteria	108	2.3484	3.059781847753528e-4	1.0653505618218152e-4
Candidatus Geothermarchaeota	5	0.0815	1.416565670256263e-5	3.6972436888297543e-6
Candidatus Giovannonibacteria	124	2.4896	3.513082862235532e-4	1.1294058757927061e-4
Candidatus Glassbacteria	373	7.5515	0.0010567579900111722	3.425734443705262e-4
Candidatus Goldbacteria	39	2.8139	1.1049212227998852e-4	1.2765244191408642e-4
