Accession	# AAs	Abundance: 40: Sample	Abundance: 41: Sample	Abundance: 42: Sample	Abundance: 43: Sample	Abundance: 61: Sample	Abundance: 62: Sample	Abundance: 63: Sample	COG Functional Category	seed ortholog evalue	Predicted taxonomic group
2.contigs_301559_3	449	19844428.3945313	25572005.722168	436017684.361328	517971509.625	5542978.43164063	777012435.075195	465536490.439453	C	4.8e-225	Chlorophyta
4.contigs_1683094_5	1001	9538241.19921875	4010785.64257813	275387167.25	222408346.699219	5555168.45703125	103643014.480469	77428328.7734375	G	0	Chlorophyta
3.contigs_8327412_4	675	2045326710.47656	372998199.496094	11889595.125	12817914.1796875	5122318.28125	11815029.4179688	6459745.57421875	G	0	Pleurocapsales
1.contigs_3594718_36	475	126291174.773438	44232853.0859375	1359479876.71484	2591766197.23047	17527300.5605469	1597802473.87109	711960886.152344	Q	1.9e-259	Chlorophyta
1.contigs_8217044_6	472	714359004.390625	628205893.945313	724678142.666016	950375618.953125	52873327.0429688	749162369.082031	443415372.224609	C	2.6e-221	Streptophyta
2.contigs_4241037_2	379	451232380.546875	175771130.462646	811515580.964844	690029324.825195	162976083.960938	1048176609.99219	982460615.920898	Z	9.5e-182	Chlorophyta
4.contigs_4460820_4	541	1222333628.49219	179161159.546875	18457749.4101563	23856547.3554688	5432986.09765625	6027217.5859375	2975766.96484375	O	3.6e-267	Pleurocapsales
4.contigs_6869555_2	860	6456675.6328125	2179850.03125	189979521.03125	168772497.984375	3046252.06640625	65486193.0625	48192034.5419922	F	0	Chlorophyta
2.contigs_6075715_11	481	520133109.972656	1023567709.42969	102042437.542969	182221696.941406	86396015.5976563	47636311.9257813	29128108.7441406	C	2.2e-260	Eukaryota
4.contigs_6562807_3	731	36285836.828125	3667407.77734375	119822187.584961	119374097.436279	10075112.6992188	162012966.453125	95220694.3017578	G	5.9e-281	Peronosporales
2.contigs_1778368_1	532	16443022.265625	11821072.4726563	520322405.035156	597036965.203125	7264127.86328125	494055325.804688	340769668.291992	C	8.7e-250	Chlorophyta
1.contigs_540445_3	560	958805890.123047	237327963.922852	9578066.5390625	10315767.578125	4325635.62109375	3589346.1484375	1449928.1015625	O	5.8e-260	Pleurocapsales
3.contigs_13851383_2	467	945060900.90625	157701109.40625	8963637.83984375	10434976.625	3986784.359375	6125820.09179688	2697809.984375	H	1.1e-248	Pleurocapsales
1.contigs_3926197_7	510	43502712.5859375	18289924.296875	465803016.203125	813788221.820313	13817827.3984375	398865713.945313	256207594.685547	C	9.1e-204	fabids
4.contigs_1735454_5	411	15554083.1914063	10915927.9492188	559489198.878906	487343496.759766	12670310.96875	577040554.382813	430466041.943359	Z	7.1e-215	Chlorophyta
3.contigs_3443572_3	608	184117617.46875	33466874.3242188	3460442.76171875	6016075.4140625	3209331.46484375	5454437.66796875	2708981.14453125	E	3e-254	Nostocales
4.contigs_481173_3	577	2596097708.28125	682387985.515625	25917918.59375	34120544.2265625	7088853.30078125	13673832.5039063	3887655.484375	I	1.6e-236	Pleurocapsales
2.contigs_7417298_1	536	2119725277.08203	534958817.763672	25987244.4804688	20870109.3457031	4048278.875	3602893.54418945	1941092.08789063	M	2e-169	Pleurocapsales
1.contigs_4274524_2	629	427328998.03125	129514202.086426	6501613.609375	2957615.484375	1053617.53125	549450.4765625	1161139.09570313	P	6.8e-185	Cyanothece
3.contigs_4240205_8	479	17294602.6171875	28090795.8671875	2637238.8984375	3848156.109375	4945217.828125	1456749.46875	992255.546875	C	4.6e-242	Bacillariophyta
3.contigs_11632347_2	505	232564022.859375	192567605.105469	65401847.9765625	113407893.53125	142601326.763672	87740175.2226563	46946647.8574219	C	1.3e-258	Bacillariophyta
2.contigs_1026274_26	475	122724470.808594	71456382.125	60596157.5703125	94380037.8125	26676460.8984375	33272864	18170088.875	C	1.8e-230	Eukaryota
4.contigs_4975735_1	1078	4205770.203125	3069301.8203125	119316509.765625	76402145.9804688	1790260.2734375	104354499.09375	53851549.2988281	NA	2.9e-58	Eukaryota
4.contigs_6369911_2	320	5745897.78125	43682746.1640625	5220097.9140625	9351470.390625	1438886584.1875	421669642.335938	101754743.94519	S	2.8e-70	Alteromonadaceae
1.contigs_10007557_2	164	6299479813.04688	1255272776.09473	61749848.3925781	50649224.9980469	25697158.7753906	14551552.8144531	7047378.03515625	O	2.9e-79	Pleurocapsales
2.contigs_2905159_2	476	565175747.828125	117800849.609375	7670893.421875	5882963.33984375	4173789.37304688	9659715.6953125	5050265.39978027	G	1.2e-253	Pleurocapsales
1.contigs_4826166_1	638	206074057.671875	254881078.476563	6182115.34375	7631871.8984375	1782979.796875	2946864.859375	2179824.2890625	P	1.7e-191	Cyanothece
2.contigs_2745476_2	229	38027239.28125	14386761.0625	238859906.976563	276016855.171875	4199805.7265625	200435548.445313	94921626.484375	S	2.9e-85	Chlorophyta
1.contigs_9448307_2	477	66861698.0625	72572532.8125	18860552.34375	27141013.625	18486502.34375	11426245.515625	3572233	C	1.9e-224	Eukaryota
2.contigs_2486697_1	1100	2751834.078125	1812123.796875	33647163.625	18448170.9375	116969.30859375	35207040.78125	17756031.6914063	NA	6e-120	Eukaryota
